seqnames	organism
NC_019518.1	Vibrio_phage_vB_VchM-138
NC_019528.1	Aeromonas_phage_phiAS7
NC_019521.1	Sphingomonas_phage_PAU
NC_019510.1	Erwinia_phage_vB_EamP-L1
NC_019503.1	Escherichia_phage_ime09
NC_019516.1	Cyanophage_S-TIM5
NC_019507.1	Campylobacter_virus_CP21
NC_019493.1	Grapevine_endophyte_alphaendornavirus
NC_019492.1	Pseudoplusia_includens_densovirus
NC_019548.1	Ralstonia_phage_RSS0
NC_019541.1	Acinetobacter_phage_YMC/09/02/B1251
NC_019539.1	Salmonella_phage_Ent1
NC_019559.2	Murid_betaherpesvirus_8
NC_019717.1	Enterobacteria_phage_HK225
NC_019711.1	Escherichia_phage_HK629
NC_019716.1	Enterobacteria_phage_mEp460
NC_019720.1	Enterobacterial_phage_mEp213
NC_019722.1	Vibrio_phage_vB_VpaM_MAR
NC_019767.1	Escherichia_phage_HK544
NC_019853.1	Ateles_paniscus_polyomavirus_1
NC_019855.1	Pan_troglodytes_polyomavirus_4
NC_019852.1	Canis_familiaris_papillomavirus_14
NC_019918.1	Pseudomonas_phage_vB_PaeM_C2-10_Ab1
NC_019923.1	Pseudomonas_phage_AF
NC_019929.1	Erwinia_phage_phiEaH2
NC_019931.1	Helicobacter_phage_KHP40
NC_019928.1	Helicobacter_phage_KHP30
NC_019944.1	Okra_enation_leaf_curl_alphasatellite
NC_020070.1	Pteronotus_davyi_polyomavirus_1
NC_020068.1	Eidolon_helvum_polyomavirus_1
NC_020077.1	Sulfolobus_virus_STSV2
NC_019925.1	Dickeya_virus_Limestone
NC_019407.1	Caulobacter_virus_Magneto
NC_019423.1	Escherichia_phage_IME11
NC_019416.1	Stenotrophomonas_phage_IME15
NC_019457.1	Vibrio_phage_CP-T1
NC_019455.1	Haemophilus_phage_SuMu
NC_019445.1	Escherichia_phage_TL-2011b
NC_019453.1	Caulobacter_phage_phiCb5
NC_019508.1	Clostridium_phage_phiCP34O
NC_019525.1	Bdellovibrio_phage_phi1422
NC_019517.1	Escherichia_phage_FV3
NC_019526.1	Klebsiella_phage_vB_KleM_RaK2
NC_019491.1	Cyprinid_herpesvirus_1
NC_019504.1	Erwinia_phage_vB_EamM-Y2
NC_019501.1	Enterobacteria_phage_IME10
NC_019512.1	Helicobacter_phage_1961P
NC_019497.1	Dragonfly-associated_mastrevirus
NC_019494.1	Porcine_astrovirus_3
NC_019496.1	Clostridium_phage_phiCP26F
NC_019538.1	Aeromonas_phage_CC2
NC_019546.1	Ageratum_yellow_vein_India_alphasatellite
NC_019724.1	Escherichia_phage_HK578
NC_019723.1	Escherichia_phage_HK630
NC_019708.1	Enterobacteria_phage_mEp235
NC_019705.1	Escherichia_phage_mEpX2
NC_019721.1	Enterobacterial_phage_mEp390
NC_019768.1	Enterobacteria_phage_HK106
NC_019726.1	Staphylococcus_phage_JD007
NC_019844.1	Chlorocebus_pygerythrus_polyomavirus_1
NC_019851.1	Macaca_fascicularis_polyomavirus_1
NC_019857.1	Pan_troglodytes_polyomavirus_6
NC_019919.2	Yersinia_phage_phiR2-01
NC_019917.1	Burkholderia_virus_Bcepmigl
NC_019913.1	Pseudomonas_phage_PaP1
NC_019914.1	Staphylococcus_phage_StB27
NC_019922.1	Enterobacteria_phage_Hgal1
NC_019921.1	Staphylococcus_phage_phi5967PVL
NC_020067.1	Cardioderma_cor_polyomavirus_1
NC_020071.1	Otomops_polyomavirus_KY157
NC_020073.2	Moroccan_pepper_virus
NC_020066.1	Otomops_polyomavirus_KY156
NC_020072.1	Colombian_datura_virus
NC_020078.1	Cronobacter_phage_vB_CskP_GAP227
NC_020084.1	Equus_caballus_papillomavirus_5
NC_020104.1	Acanthamoeba_polyphaga_moumouvirus
NC_020106.1	STL_polyomavirus
NC_020197.1	Streptococcus_phage_TP-J34
NC_020198.1	Pseudomonas_phage_JBD30
NC_020205.1	Xanthomonas_citri_phage_CP2
NC_020231.1	Caviid_betaherpesvirus_2
NC_020257.1	Tomato_rugose_yellow_leaf_curl_virus
NC_038234.1	Tomato_rugose_yellow_leaf_curl_virus
NC_020256.1	Sida_mottle_Alagoas_virus
NC_020439.1	Melaka_orthoreovirus
NC_020447.1	Melaka_orthoreovirus
NC_020440.1	Melaka_orthoreovirus
NC_020441.1	Melaka_orthoreovirus
NC_020442.1	Melaka_orthoreovirus
NC_020443.1	Melaka_orthoreovirus
NC_020448.1	Melaka_orthoreovirus
NC_020444.1	Melaka_orthoreovirus
NC_020445.1	Melaka_orthoreovirus
NC_020446.1	Melaka_orthoreovirus
NC_020475.1	Corchorus_yellow_vein_mosaic_betasatellite
NC_020486.1	Synechococcus_phage_S-RIM8_A.HR1
NC_020482.1	Pelagibacter_phage_HTVC011P
NC_020478.1	Bacillus_virus_Andromeda
NC_020489.1	Rhodobacter_phage_RcapNL
NC_020501.1	Equus_caballus_papillomavirus_7
NC_020803.1	Egli_virus
NC_020804.1	Tibrogargan_virus
NC_020858.2	Sulfitobacter_phage_pCB2047-A
NC_020846.1	Vibrio_phage_pYD21-A
NC_020863.1	Vibrio_phage_PWH3a-P1
NC_020844.1	Salicola_phage_CGphi29
NC_020851.1	Synechococcus_phage_S-SKS1
NC_020848.1	Vibrio_phage_VBP47
NC_020860.1	Cellulophaga_phage_phiSM
NC_020874.1	Prochlorococcus_phage_P-SSP3
NC_020876.1	Mycobacterium_phage_First
NC_020882.1	Sulfolobales_Mexican_fusellovirus_1
NC_020889.1	Ageratum_leaf_curl_betasatellite
NC_020903.1	Xanthophyllomyces_dendrorhous_virus_L1A
NC_020902.1	Equine_pegivirus_1
NC_020997.1	Ustilaginoidea_virens_RNA_virus_1
NC_021061.1	Mycobacterium_phage_Butters
NC_021070.1	Vibrio_phage_martha_12B12
NC_021065.1	Sunflower_mild_mosaic_virus
NC_021096.1	Red_clover_cryptic_virus_2
NC_021097.1	Red_clover_cryptic_virus_2
NC_021153.1	Rodent_hepacivirus
NC_019909.1	Yersinia_phage_phiR1-RT
NC_019924.1	Clostridium_phage_phi8074-B1
NC_019912.1	Bacillus_virus_BMBtp2
NC_019915.1	Staphylococcus_phage_StB20
NC_019910.1	Salmonella_phage_SKML-39
NC_019935.1	Pseudomonas_phage_KPP12
NC_019946.1	Tomato_yellow_mottle_virus
NC_019947.1	Tomato_yellow_mottle_virus
NC_020065.1	Chaerephon_polyomavirus_1
NC_020074.1	Bovine_adenovirus_6
NC_020080.1	Klebsiella_phage_KP27
NC_020081.2	Bacillus_phage_phiAGATE
NC_020083.1	Serratia_phage_phiMAM1
NC_020099.1	Acartia_tonsa_copepod_circovirus
NC_020158.1	Halovirus_HVTV-1
NC_020201.1	Pectobacterium_phage_phiTE
NC_020200.1	Pseudomonas_phage_JBD88a
NC_020206.1	Cockroach_associated_cyclovirus_1
NC_020236.1	Pepper_yellow_leaf_curl_virus
NC_020254.1	Sida_yellow_blotch_virus
NC_020416.1	Salmonella_phage_vB_SenM-S16
NC_020472.1	Gastropod_associated_circular_ssDNA_virus
NC_020469.1	Furcraea_necrotic_streak_virus
NC_020484.1	Pelagibacter_phage_HTVC008M
NC_020485.1	Simian_adenovirus_20
NC_020477.1	Bacillus_virus_Eoghan
NC_020499.1	Canine_bocavirus_1
NC_020498.1	TTV-like_mini_virus
NC_020809.1	Irkut_lyssavirus
NC_020810.1	Duvenhage_lyssavirus
NC_020841.1	Psychrobacter_phage_pOW20-A
NC_020839.1	Rhodobacter_phage_RC1
NC_020852.1	Ostreococcus_lucimarinus_virus_OlV5
NC_020867.1	Synechococcus_phage_S-RIP1
NC_020843.1	Vibrio_phage_11895-B1
NC_020875.1	Synechococcus_phage_S-SSM4
NC_020871.1	Listeria_phage_vB_LmoM_AG20
NC_020880.1	Leuconostoc_phage_P793
NC_020881.1	Long-fingered_bat_hepatitis_B_virus
NC_020896.1	Sweet_potato_latent_virus
NC_020082.1	Edwardsiella_phage_MSW-3
NC_020103.1	Aspergillus_foetidus_dsRNA_mycovirus
NC_020100.1	Aspergillus_foetidus_dsRNA_mycovirus
NC_020101.1	Aspergillus_foetidus_dsRNA_mycovirus
NC_020102.1	Aspergillus_foetidus_dsRNA_mycovirus
NC_020159.1	Halovirus_HSTV-2
NC_019782.1	Lactobacillus_phage_phiAQ113
NC_020202.1	Pseudomonas_phage_JBD5
NC_020204.1	Klebsiella_phage_JD001
NC_020253.1	Sida_yellow_net_virus
NC_020471.1	Andean_potato_mild_mosaic_virus
NC_020474.2	Elephantid_betaherpesvirus_1
NC_020487.1	Titi_monkey_adenovirus_ECC-2011
NC_020483.1	Pelagibacter_phage_HTVC019P
NC_020479.1	Bacillus_virus_Curly
NC_020490.2	Staphylococcus_phage_StB12
NC_020502.1	Guar_leaf_curl_alphasatellite
NC_020808.1	Aravan_lyssavirus
NC_020807.1	Lagos_bat_lyssavirus
NC_020862.2	Sulfitobacter_phage_phiCB2047-B
NC_020849.1	Pseudoalteromonas_phage_pYD6-A
NC_020864.1	Micromonas_pusilla_virus_12T
NC_020838.1	Synechococcus_phage_S-RIP2
NC_020840.1	Tetraselmis_viridis_virus_S20
NC_020850.1	Vibrio_phage_VBM1
NC_020842.1	Cellulophaga_phage_phiST
NC_020878.1	Prochlorococcus_phage_P-GSP1
NC_020870.1	Leuconostoc_phage_LN04
NC_020873.1	Bacillus_phage_vB_BceM_Bc431v3
NC_020890.1	Human_polyomavirus_12
NC_020899.1	Hana_virus
NC_020904.1	Canine_circovirus
NC_020999.1	Rose_yellow_vein_virus
NC_021062.1	Pseudomonas_phage_Phi-S1
NC_021073.1	Vibrio_phage_henriette_12B8
NC_021069.1	Mosquito_flavivirus
NC_021098.1	Hop_trefoil_cryptic_virus_2
NC_021099.1	Hop_trefoil_cryptic_virus_2
NC_021168.1	Simian_mastadenovirus_C
NC_021204.1	Porcine_associated_porprismacovirus_3
NC_021222.1	Cryphonectria_parasitica_bipartite_mycovirus_1
NC_021223.1	Cryphonectria_parasitica_bipartite_mycovirus_1
NC_020079.1	Escherichia_phage_phAPEC8
NC_020085.1	Equus_caballus_papillomavirus_4
NC_020105.1	Brugmansia_mosaic_virus
NC_017843.2	Labidocera_aestiva_circovirus
NC_020203.1	Pseudomonas_phage_JBD24
NC_020199.1	Staphylococcus_phage_phi7401PVL
NC_020252.1	Gentian_Kobu-sho-associated_virus
NC_020255.1	Sida_yellow_mosaic_Alagoas_virus
NC_020415.1	Rosa_rugosa_leaf_distortion_virus
NC_020473.1	Corchorus_yellow_vein_mosaic_virus
NC_020470.1	Andean_potato_latent_virus
NC_020481.1	Pelagibacter_phage_HTVC010P
NC_020488.1	Vibrio_phage_VvAW1
NC_020480.1	Bacillus_virus_Finn
NC_020500.1	Equus_caballus_papillomavirus_6
NC_020805.1	Chandipura_virus
NC_020806.1	Isfahan_virus
NC_020856.2	Sulfitobacter_phage_pCB2047-C
NC_020853.1	Loktanella_phage_pCB2051-A
NC_020866.1	Rhodovulum_phage_RS1
NC_020837.1	Synechococcus_phage_S-CAM1
NC_020859.1	Synechococcus_phage_S-RIM2_R1_1999
NC_020868.1	Vibrio_phage_VBP32
NC_020869.1	Tetraselmis_viridis_virus_S1
NC_020872.1	Cyanophage_SS120-1
NC_020877.1	Staphylococcus_phage_vB_SauM_Romulus
NC_020879.1	Aeromonas_phage_Aes012
NC_020883.1	Bacillus_phage_PM1
NC_020898.1	Arracacha_virus_B
NC_020897.1	Arracacha_virus_B
NC_020901.1	Nse_virus
NC_020996.1	Cherry_rusty_mottle_associated_virus
NC_021063.1	Mycobacterium_phage_FF47
NC_021067.1	Vibrio_phage_helene_12B3
NC_021072.1	Synechococcus_phage_Syn30
NC_021094.1	White_clover_cryptic_virus_2
NC_021095.1	White_clover_cryptic_virus_2
NC_021154.1	Rodent_pegivirus
NC_021205.1	Tomato_leaf_curl_China_virus_-_OX2
NC_021220.1	Enterovirus_FALSE
NC_021197.1	Donkey_orchid_virus_A
NC_021202.1	Ageratum_Yellow_vein_China_virus_-_OX1
NC_021221.1	Fowl_aviadenovirus_5
NC_021312.1	Phaeocystis_globosa_virus
NC_021307.1	Mycobacterium_phage_Severus
NC_021308.1	Mycobacterium_phage_HINdeR
NC_021300.1	Pseudoalteromonas_phage_RIO-1
NC_021316.1	Acinetobacter_phage_Abp1
NC_021347.1	Rhodococcus_phage_E3
NC_021348.1	Mycobacterium_phage_ArcherS7
NC_021334.1	Mycobacterium_phage_WIVsmall
NC_021344.2	Escherichia_phage_Lw1
NC_021321.1	Halovirus_HRTV-8
NC_021340.1	Halovirus_HHTV-2
NC_021319.1	Halovirus_HCTV-2
NC_021471.1	Halovirus_HSTV-1
NC_021481.1	Barley_yellow_dwarf_virus_kerII
NC_021530.1	Synechococcus_phage_S-CAM8
NC_021532.1	Alteromonas_phage_vB_AmaP_AD45-P1
NC_021533.1	Mycobacterium_phage_BTCU-1
NC_021559.1	Prochlorococcus_phage_P-SSM3
NC_021562.1	Vibrio_phage_VFJ
NC_021565.1	Rosellinia_necatrix_victorivirus_1
NC_021541.1	Human_rotavirus_B
NC_021545.1	Human_rotavirus_B
NC_021551.1	Human_rotavirus_B
NC_021543.1	Human_rotavirus_B
NC_021546.1	Human_rotavirus_B
NC_021544.1	Human_rotavirus_B
NC_021547.1	Human_rotavirus_B
NC_021548.1	Human_rotavirus_B
NC_021542.1	Human_rotavirus_B
NC_021550.1	Human_rotavirus_B
NC_021549.1	Human_rotavirus_B
NC_021706.1	Sclerotinia_sclerotiorum_endornavirus_1
NC_021719.1	Sweet_potato_leaf_curl_Henan_virus
NC_021773.2	Staphylococcus_phage_JS01
NC_021774.1	Salmonella_phage_FSLSP004
NC_021779.1	Salmonella_virus_FSLSP030
NC_021785.1	Listeria_phage_LP-110
NC_021783.1	Salmonella_virus_iEPS5
NC_021803.1	Cellulophaga_phage_phi13:2
NC_021804.1	Cellulophaga_phage_phi39:1
NC_021800.1	Cellulophaga_phage_phi46:1
NC_021798.1	Cellulophaga_phage_phi17:2
NC_021856.1	Bacillus_phage_phiNIT1
NC_021862.1	Ralstonia_phage_RSS30
NC_021855.1	Lactococcus_phage_phi7
NC_021863.1	Staphylococcus_phage_SA13
NC_021873.1	Ustilaginoidea_virens_partitivirus_2
NC_021874.1	Ustilaginoidea_virens_partitivirus_2
NC_021926.1	Calibrachoa_mottle_virus
NC_020900.1	Meno_virus
NC_020928.1	Bombyx_mori_densovirus_3
NC_020927.1	Bombyx_mori_densovirus_3
NC_020998.1	Haloarcula_hispanica_virus_PH1
NC_021068.1	Vibrio_phage_douglas_12A4
NC_021071.1	Cyanophage_P-RSM1
NC_021074.1	Acheta_domesticus_volvovirus
NC_021147.1	Dill_cryptic_virus_2
NC_021148.1	Dill_cryptic_virus_2
NC_021178.1	Canine_picodicistrovirus
NC_021206.1	Bat_associated_circovirus_2
NC_021203.1	Porcine_stool-associated_circular_virus_2
NC_021242.1	Lone_Star_virus
NC_021243.1	Lone_Star_virus
NC_021244.1	Lone_Star_virus
NC_021311.1	Mycobacterium_phage_Phaux
NC_021309.1	Mycobacterium_phage_Phrux
NC_021302.1	Mycobacterium_phage_Fishburne
NC_021298.1	Streptomyces_phage_Lika
NC_021345.1	Chili_leaf_curl_Bhatinda_betasatellite
NC_021332.1	Staphylococcus_phage_StauST398-3
NC_021318.1	Mycobacterium_phage_Chy5
NC_021349.1	Mycobacterium_phage_Astraea
NC_021331.1	Shigella_phage_pSf-1
NC_021343.1	Burkholderia_phage_ST79
NC_021320.1	Halovirus_HRTV-5
NC_021328.1	Halovirus_HGTV-1
NC_021337.1	Acinetobacter_phage_AB3
NC_021483.1	Human_papillomavirus_154
NC_021534.1	Vibrio_phage_pYD38-A
NC_021536.1	Synechococcus_phage_S-IOM18
NC_021540.1	Vibrio_phage_JA-1
NC_021558.1	Paenibacillus_phage_PG1
NC_021569.1	Stenotrophomonas_phage_SMA7
NC_021568.1	Human_cyclovirus_VS5700009
NC_021735.1	Burdock_mottle_virus
NC_021736.1	Burdock_mottle_virus
NC_021772.1	Salmonella_phage_FSL_SP-058
NC_021781.2	Listeria_phage_LP-125
NC_021799.1	Cellulophaga_phage_phi19:1
NC_021793.1	Cellulophaga_phage_phi48:2
NC_021786.1	Habenaria_mosaic_virus
NC_021801.1	Staphylococcus_phage_SA12
NC_021305.1	Mycobacterium_phage_Murphy
NC_021310.1	Mycobacterium_phage_Newman
NC_021304.1	Streptomyces_phage_Sujidade
NC_021341.1	Tomato_yellow_leaf_curl_Yunnan_virus
NC_021333.1	Phaeocystis_globosa_virus_virophage
NC_021346.1	Mycobacterium_phage_Gizmo
NC_021324.1	Mycobacterium_phage_CASbig
NC_021325.1	Clostridium_phage_vB_CpeS-CP51
NC_021335.1	Halovirus_HRTV-7
NC_021322.1	Halovirus_HHTV-1
NC_021330.1	Halovirus_HCTV-1
NC_021484.1	Maize_yellow_dwarf_virus_RMV
NC_021482.1	Sebokele_virus_1
NC_021537.1	Halorubrum_phage_CGphi46
NC_021535.1	Mycobacterium_phage_Jobu08
NC_021539.2	Listeria_phage_LP-030-2
NC_021566.1	Nilaparvata_lugens_honeydew_virus-2
NC_021563.1	Serratia_phage_Eta
NC_021579.1	Tomato_golden_leaf_spot_virus
NC_021708.1	Cuban_alphasatellite_1
NC_021780.1	Salmonella_virus_FSLSP088
NC_021782.1	Salmonella_phage_FSL_SP-076
NC_021789.1	Cellulophaga_phage_phi19:3
NC_021784.1	Thermus_phage_phi_OH2
NC_021806.1	Cellulophaga_phage_phi14:2
NC_021796.1	Cellulophaga_phage_phi38:1
NC_021795.1	Cellulophaga_phage_phi17:1
NC_021791.1	Cellulophaga_phage_phi12:1
NC_021867.1	Flavobacterium_phage_6H
NC_021857.1	Shigella_phage_SfII
NC_021860.1	Lactococcus_phage_jm2
NC_021901.1	Invertebrate_iridovirus_22
NC_021923.1	Hemileuca_sp._nucleopolyhedrovirus
NC_022002.1	Grapevine_red_blotch_virus
NC_022039.1	Brazoran_virus
NC_022038.1	Brazoran_virus
NC_022037.1	Brazoran_virus
NC_022070.1	Mycobacterium_phage_Wheeler
NC_021245.1	Malvastrum_leaf_curl_Philippines_virus
NC_021301.1	Mycobacterium_phage_SiSi
NC_021297.1	Mycobacterium_phage_PattyP
NC_021306.2	Mycobacterium_phage_Dumbo
NC_021299.1	Mycobacterium_phage_PegLeg
NC_021317.1	Salmonella_phage_L13
NC_021326.1	Staphylococcus_phage_StauST398-1
NC_021338.1	Mycobacterium_phage_Chy4
NC_021339.1	Streptomyces_phage_Zemlya
NC_021336.1	Bacillus_phage_MG-B1
NC_021323.1	Staphylococcus_phage_StauST398-2
NC_021329.1	Halovirus_HRTV-4
NC_021327.1	Halovirus_HCTV-5
NC_021472.1	Felis_catus_papillomavirus_3
NC_021480.1	Grapevine_satellite_virus
NC_021529.2	Vibrio_phage_nt-1
NC_021538.1	Mycobacterium_phage_Job42
NC_021531.1	Cronobacter_phage_CR5
NC_021567.1	Nilaparvata_lugens_honeydew_virus-3
NC_021556.1	Mycobacterium_phage_Leo
NC_021564.1	Citrus_vein_enation_virus
NC_021625.1	Rotavirus_FALSE_chicken/03V0568/DEU/2003
NC_021626.1	Rotavirus_FALSE_chicken/03V0568/DEU/2003
NC_021631.1	Rotavirus_FALSE_chicken/03V0568/DEU/2003
NC_021630.1	Rotavirus_FALSE_chicken/03V0568/DEU/2003
NC_021632.1	Rotavirus_FALSE_chicken/03V0568/DEU/2003
NC_021635.1	Rotavirus_FALSE_chicken/03V0568/DEU/2003
NC_021633.1	Rotavirus_FALSE_chicken/03V0568/DEU/2003
NC_021628.1	Rotavirus_FALSE_chicken/03V0568/DEU/2003
NC_021627.1	Rotavirus_FALSE_chicken/03V0568/DEU/2003
NC_021629.1	Rotavirus_FALSE_chicken/03V0568/DEU/2003
NC_021634.1	Rotavirus_FALSE_chicken/03V0568/DEU/2003
NC_021705.2	Thin_paspalum_asymptomatic_virus
NC_021776.1	Vibrio_phage_VPMS1
NC_021777.1	Salmonella_phage_Jersey
NC_021775.1	Salmonella_phage_FSL_SP-031
NC_021797.1	Cellulophaga_phage_phi12:2
NC_021787.2	Listeria_phage_LP-037
NC_021788.1	Cellulophaga_phage_phi4:1
NC_021805.1	Cellulophaga_phage_phi12a:1
NC_021794.1	Cellulophaga_phage_phi18:3
NC_021802.1	Cellulophaga_phage_phi10:1
NC_021868.1	Streptococcus_phage_SPQS1
NC_021866.1	Ralstonia_phage_RSS20
NC_021865.1	Paenibacillus_phage_phiIBB_Pl23
NC_021861.1	Lactococcus_phage_BM13
NC_021853.1	Lactococcus_phage_340
NC_021924.1	Choristoneura_rosaceana_nucleopolyhedrovirus
NC_021928.1	Human_parainfluenza_virus_4a
NC_022005.1	Bean_white_chlorosis_mosaic_virus
NC_022003.1	Bean_white_chlorosis_mosaic_virus
NC_022059.1	Mycobacterium_phage_DrDrey
NC_022004.1	Broad_bean_true_mosaic_virus
NC_022006.1	Broad_bean_true_mosaic_virus
NC_022058.1	Mycobacterium_phage_Adzzy
NC_022071.1	Mycobacterium_phage_Crossroads
NC_022052.1	Mycobacterium_phage_Whirlwind
NC_022068.1	Mycobacterium_phage_Daenerys
NC_022066.1	Mycobacterium_phage_Redno2
NC_022089.1	Parvovirus_NIH-CQV
NC_022090.1	Staphylococcus_phage_vB_SauM_Remus
NC_022091.1	Pseudomonas_phage_MPK7
NC_022104.1	Porcine_partetravirus
NC_022229.1	Tomato_yellow_leaf_curl_Saudi_virus
NC_022249.1	Feline_astrovirus_2
NC_022332.1	Eel_picornavirus_1
NC_022337.1	Propionibacterium_phage_PHL071N05
NC_022330.1	Mycobacterium_phage_Quink
NC_022336.1	Propionibacterium_phage_PHL010M04
NC_022328.1	Mycobacterium_phage_Adawi
NC_022365.1	Piper_yellow_mottle_virus
NC_022519.1	African_elephant_polyomavirus_1
NC_022580.1	Drosophila_obscura_sigmavirus_10A
NC_022611.1	Halyomorpha_halys_virus
NC_022616.1	Red_clover_cryptic_virus_1
NC_022617.1	Red_clover_cryptic_virus_1
NC_022639.1	Changuinola_virus
NC_022633.1	Changuinola_virus
NC_022634.1	Changuinola_virus
NC_022640.1	Changuinola_virus
NC_022635.1	Changuinola_virus
NC_022641.1	Changuinola_virus
NC_022636.1	Changuinola_virus
NC_022637.1	Changuinola_virus
NC_022642.1	Changuinola_virus
NC_022638.1	Changuinola_virus
NC_022646.1	Clostera_anastomosis_granulovirus_Henan
NC_022745.1	Tall_oatgrass_mosaic_virus
NC_022746.1	Pseudomonas_phage_MPK6
NC_022756.1	Lactobacillus_phage_J-1
NC_022776.1	Streptococcus_phage_TP-778L
NC_022761.1	Bacillus_phage_CampHawk
NC_022768.1	Salmonella_phage_Maynard
NC_022770.1	Bacillus_phage_Pony
NC_022791.1	Streptococcus_phage_phiBHN167
NC_022790.1	Marine_gokushovirus
NC_022800.1	Feline_bocaparvovirus_2
NC_022896.1	Sclerotinia_sclerotiorum_hypovirus_2
NC_022917.1	Ralstonia_phage_RSB3
NC_022918.1	Staphylococcus_phage_S25-4
NC_022971.1	Pseudomonas_phage_phiIBB-PAA2
NC_022981.1	Mycobacterium_phage_HufflyPuff
NC_022983.1	Mycobacterium_phage_Bernardo
NC_022972.2	Arthrobacter_phage_vB_ArS-ArV2
NC_022988.1	Mycobacterium_phage_Bruin
NC_021790.1	Cellulophaga_phage_phi18:1
NC_021792.1	Cellulophaga_phage_phi46:3
NC_021851.1	Tomato_blistering_mosaic_virus
NC_021858.1	Pandoravirus_dulcis
NC_021854.1	Lactococcus_phage_jm3
NC_021852.1	Lactococcus_phage_P680
NC_021930.1	Rangifer_tarandus_papillomavirus_2
NC_022007.1	Capraria_yellow_spot_Yucatan_virus
NC_022008.1	Capraria_yellow_spot_Yucatan_virus
NC_022053.1	Mycobacterium_phage_Papyrus
NC_022061.1	Mycobacterium_phage_KayaCho
NC_022069.1	Mycobacterium_phage_Jabbawokkie
NC_022062.1	Mycobacterium_phage_Trouble
NC_022060.1	Mycobacterium_phage_Velveteen
NC_022073.1	Hemidesmus_yellow_mosaic_virus
NC_022094.1	Bacillus_phage_Wip1
NC_022087.1	Mycobacterium_phage_AnnaL29
NC_022098.1	Pandoravirus_salinus
NC_022131.1	Chickpea_chlorosis_Australia_virus
NC_022230.1	Tomato_mottle_mosaic_virus
NC_022253.1	Mustela_putorius_papillomavirus_1
NC_022341.1	Propionibacterium_phage_PHL113M01
NC_022342.1	Propionibacterium_phage_PHL111M01
NC_022335.1	Propionibacterium_phage_PHL067M10
NC_022324.1	Mycobacterium_phage_SarFire
NC_022517.1	Baboon_endogenous_virus_strain_M7
NC_022564.1	Acheta_domestica_mini_ambidensovirus
NC_022586.1	Sweet_potato_leaf_curl_Sichuan_virus_2
NC_022612.1	Turkey_aviadenovirus_4
NC_022626.1	Mobuck_virus
NC_022620.1	Mobuck_virus
NC_022627.1	Mobuck_virus
NC_022621.1	Mobuck_virus
NC_022628.1	Mobuck_virus
NC_022622.1	Mobuck_virus
NC_022623.1	Mobuck_virus
NC_022629.1	Mobuck_virus
NC_022624.1	Mobuck_virus
NC_022625.1	Mobuck_virus
NC_022750.1	Enterobacteria_phage_fiAA91-ss
NC_022755.1	American_bat_vesiculovirus_TFFN-2013
NC_022744.1	Erwinia_phage_FE44
NC_022757.1	Lactobacillus_phage_PL-1
NC_022764.1	Bacillus_phage_Page
NC_022769.1	Bacillus_phage_BigBertha
NC_022765.1	Bacillus_virus_Riggi
NC_022773.1	Bacillus_virus_Blastoid
NC_022789.1	Gyrovirus_Tu789
NC_022801.1	Yellow_tailflower_mild_mottle_virus
NC_022065.1	Mycobacterium_phage_Contagion
NC_022067.1	Mycobacterium_phage_Wanda
NC_022055.1	Mycobacterium_phage_Bobi
NC_022095.1	Human_papillomavirus_179
NC_022096.1	Pseudomonas_phage_PaBG
NC_022086.1	Mycobacterium_phage_LittleCherry
NC_022127.1	Ageratum_latent_virus
NC_022128.1	Ageratum_latent_virus
NC_022129.1	Ageratum_latent_virus
NC_022250.1	Blueberry_shock_virus
NC_022251.1	Blueberry_shock_virus
NC_022252.1	Blueberry_shock_virus
NC_022343.1	Klebsiella_virus_0507KN21
NC_022334.1	Propionibacterium_phage_PHL112N00
NC_022329.1	Mycobacterium_phage_PhrostyMug
NC_022331.2	Mycobacterium_phage_Bane1
NC_022338.1	Propionibacterium_phage_PHL060L00
NC_022373.1	Felis_catus_papillomavirus_4
NC_022553.1	Wallal_virus
NC_022554.1	Wallal_virus
NC_022555.1	Wallal_virus
NC_022560.1	Wallal_virus
NC_022556.1	Wallal_virus
NC_022561.1	Wallal_virus
NC_022557.1	Wallal_virus
NC_022562.1	Wallal_virus
NC_022558.1	Wallal_virus
NC_022559.1	Wallal_virus
NC_022581.1	Eel_virus_European_X
NC_022614.1	Dill_cryptic_virus_1
NC_022615.1	Dill_cryptic_virus_1
NC_022619.1	Rhizoctonia_cerealis_alphaendornavirus_1
NC_022645.1	East_African_cassava_mosaic_Malawi_virus
NC_022644.1	East_African_cassava_mosaic_Malawi_virus
NC_022754.1	Salmonella_phage_SETP7
NC_022748.1	Solenopsis_invicta_densovirus
NC_022758.1	Staphylococcus_phage_YMC/09/04/R1988
NC_022747.1	Vibrio_phage_VPUSM_8
NC_022772.1	Salmonella_phage_Marshall
NC_022762.1	Lactobacillus_phage_phiLdb
NC_022766.1	Bacillus_virus_Glittering
NC_022771.1	Bacillus_phage_Grass
NC_022787.1	Porcine_torovirus
NC_022798.1	Potato_black_ringspot_virus
NC_022799.1	Potato_black_ringspot_virus
NC_022892.1	Human_papillomavirus_167
NC_022895.1	Yam_spherical_virus
NC_022914.1	Staphylococcus_phage_phiRS7
NC_022920.1	Staphylococcus_phage_S25-3
NC_022987.1	Xylella_phage_Prado
NC_022973.1	Mycobacterium_phage_Conspiracy
